iter	RMSE
0	269615.5023
1	265186.1829
2	259391.4392
3	255356.3437
4	251043.4621
5	246752.9032
6	241626.5871
7	237364.419
8	232916.7706
9	228443.2699
10	224444.3412
11	220399.4169
12	215704.3594
13	211401.0665
14	206948.063
15	203446.8001
16	199824.8686
17	196165.4075
18	192520.7962
19	188661.4041
20	184834.6376
21	181096.1808
22	177186.542
23	174021.9518
24	170814.3281
25	167880.0602
26	164916.4918
27	161924.7854
28	158499.5996
29	155682.4239
30	152583.1116
31	149557.9568
32	146697.2199
33	143930.2835
34	141001.3611
35	138618.9793
36	136208.671
37	133410.063
38	131325.056
39	129126.9272
40	126686.5248
41	124331.3727
42	122185.2923
43	120233.3695
44	118430.0358
45	116438.858
46	114430.1125
47	112271.8384
48	110347.1804
49	108036.3215
50	106147.7298
51	104484.704
52	102450.1873
53	100525.4154
54	98591.73962
55	96704.95556
56	94892.01906
57	93104.58028
58	91545.14155
59	90167.26824
60	88515.17419
61	87005.274
62	85235.99876
63	83734.21368
64	82281.86554
65	80858.39112
66	79341.2758
67	77857.44552
68	76378.13532
69	75228.1241
70	74007.14915
71	72699.82752
72	71304.00157
73	69945.919
74	68628.26318
75	67267.48733
76	66044.19289
77	65040.69613
78	64058.1001
79	63236.95068
80	62106.75938
81	61176.94057
82	60317.92727
83	59461.96348
84	58550.97136
85	57525.17029
86	56781.87083
87	55984.21386
88	54928.15887
89	53893.93207
90	53161.0234
91	52313.77919
92	51570.46224
93	50722.33492
94	49936.4093
95	49188.54434
96	48293.47491
97	47611.55396
98	47007.1913
99	46374.23803
100	45534.76363
101	44839.61053
102	44218.66611
103	43396.65677
104	42837.20747
105	42056.85799
106	41437.30786
107	40928.91947
108	40222.83663
109	39530.07402
110	38996.32433
111	38351.07666
112	37707.26713
113	37092.54655
114	36636.87005
115	36021.49697
116	35531.80155
117	35013.68182
118	34411.85485
119	33919.39492
120	33369.97594
121	32892.24607
122	32335.21265
123	31918.48368
124	31436.56142
125	31106.86259
126	30619.00139
127	30194.36543
128	29777.32575
129	29339.96358
130	28901.01762
131	28563.25668
132	28201.31959
133	27880.00257
134	27568.29528
135	27239.16449
136	26947.86319
137	26588.24191
138	26254.24548
139	26009.23296
140	25703.38084
141	25341.45644
142	25061.04451
143	24812.74117
144	24514.79406
145	24248.84813
146	23954.34271
147	23716.91552
148	23478.72717
149	23211.11767
150	22993.53953
151	22757.31845
152	22512.55931
153	22288.65968
154	22106.69401
155	21829.98252
156	21604.24813
157	21440.00165
158	21256.34726
159	21026.49979
160	20826.54266
161	20607.92725
162	20457.54002
163	20246.18799
164	20056.80594
165	19842.92945
166	19640.60049
167	19457.90711
168	19252.82506
169	19063.08289
170	18890.61704
171	18679.26747
172	18489.27494
173	18278.6916
174	18080.56863
175	17894.79904
176	17716.10789
177	17520.48812
178	17351.63936
179	17182.05399
180	17036.7593
181	16905.79938
182	16772.18256
183	16588.49536
184	16425.68988
185	16284.33136
186	16134.55534
187	15963.61895
188	15853.83347
189	15723.02856
190	15569.75601
191	15440.8209
192	15314.49474
193	15176.17162
194	15027.29581
195	14900.91757
196	14774.94479
197	14626.20279
198	14504.37261
199	14357.96994
200	14234.58446
201	14109.94922
202	13993.48342
203	13867.4194
204	13749.68669
205	13665.12293
206	13533.62189
207	13425.49124
208	13363.59109
209	13247.99009
210	13136.04732
211	13031.60723
212	12970.74164
213	12874.36161
214	12771.91619
215	12700.76666
216	12599.22098
217	12500.81419
218	12404.99202
219	12307.899
220	12198.70203
221	12100.79056
222	12005.61838
223	11914.88748
224	11828.08816
225	11742.98601
226	11685.29628
227	11632.71968
228	11546.62863
229	11456.57428
230	11368.53841
231	11271.44935
232	11222.34953
233	11129.62689
234	11072.37346
235	10972.70704
236	10891.95701
237	10812.96745
238	10722.68403
239	10655.27847
240	10578.63195
241	10499.75917
242	10430.02079
243	10356.38135
244	10281.77176
245	10246.80936
246	10180.07234
247	10109.2884
248	10044.57925
249	9984.122941
250	9927.335178
251	9880.9989
252	9821.50947
253	9753.504523
254	9696.584963
255	9638.166834
256	9590.952848
257	9512.407266
258	9477.718902
259	9435.88919
260	9408.233688
261	9380.925156
262	9323.682094
263	9268.446961
264	9235.469297
265	9203.611907
266	9172.467461
267	9141.724001
268	9065.619384
269	9035.552257
270	9005.513834
271	8976.178962
272	8937.369256
273	8909.664914
274	8881.338321
275	8814.596434
276	8791.814792
277	8754.95424
278	8690.844209
279	8654.988427
280	8619.677424
281	8584.903286
282	8563.295493
283	8529.292555
284	8508.509746
285	8475.254761
286	8442.510256
287	8418.080941
288	8386.137289
289	8354.686121
290	8323.720143
291	8293.232159
292	8263.215077
293	8233.661898
294	8204.565724
295	8182.439405
296	8158.099441
297	8140.008154
298	8122.423737
299	8094.763449
300	8067.537036
301	8040.73791
302	8020.39664
303	7994.275838
304	7969.221893
305	7943.853876
306	7927.868914
307	7904.817441
308	7831.959084
309	7816.52736
310	7801.301996
311	7736.510738
312	7718.531788
313	7698.414062
314	7680.889883
315	7611.716662
316	7591.542334
317	7525.655128
318	7504.078081
319	7483.684524
320	7465.163713
321	7449.039388
322	7384.308475
323	7321.686592
324	7308.700304
325	7293.223247
326	7273.429421
327	7256.229334
328	7239.283705
329	7222.588998
330	7161.245251
331	7101.907087
332	7085.672739
333	7027.023685
334	6970.584327
335	6956.73556
336	6945.418823
337	6929.923629
338	6916.576806
339	6903.404624
340	6891.82636
341	6840.671367
342	6823.907662
343	6805.902728
344	6756.324145
345	6744.034087
346	6691.748313
347	6674.450709
348	6658.880328
349	6645.165691
350	6598.280366
351	6547.301252
352	6504.321782
353	6494.240719
354	6479.64132
355	6465.301333
356	6428.093465
357	6387.161698
358	6344.487747
359	6311.145428
360	6301.831575
361	6266.215802
362	6225.228537
363	6186.614308
364	6148.797658
365	6117.116049
366	6079.250769
367	6048.361018
368	6016.834849
369	5986.552981
370	5948.736779
371	5919.463254
372	5889.625599
373	5860.336617
374	5831.689083
375	5803.563682
376	5765.383248
377	5736.797787
378	5708.041823
379	5681.669898
380	5655.839632
381	5619.249835
382	5593.969913
383	5567.922864
384	5543.147713
385	5517.6183
386	5493.337842
387	5468.316482
388	5424.188114
389	5394.94588
390	5371.41688
391	5328.567353
392	5300.359293
393	5277.496391
394	5248.780359
395	5207.604091
396	5184.581638
397	5162.603737
398	5135.059092
399	5108.057954
400	5067.013231
401	5044.460715
402	5018.091831
403	4983.388493
404	4961.843354
405	4936.317501
406	4914.719122
407	4880.201748
408	4859.403431
409	4834.782387
410	4813.863743
411	4789.749856
412	4769.261095
413	4758.071145
414	4738.487019
415	4706.743545
416	4687.530423
417	4667.796547
418	4636.122678
419	4617.32497
420	4594.776863
421	4562.567862
422	4535.983546
423	4518.107746
424	4488.856879
425	4471.321059
426	4441.857976
427	4424.651085
428	4406.553088
429	4388.753667
430	4365.489623
431	4355.721889
432	4331.804309
433	4314.74326
434	4297.963208
435	4281.459682
436	4253.922666
437	4229.288873
438	4207.209494
439	4180.671597
440	4164.993596
441	4139.271029
442	4113.675777
443	4088.81574
444	4070.125345
445	4045.905686
446	4027.646584
447	4008.349416
448	3992.481782
449	3969.270236
450	3951.546293
451	3927.834385
452	3910.600835
453	3887.482004
454	3871.92106
455	3849.196646
456	3826.89704
457	3811.554851
458	3789.634713
459	3767.623654
460	3746.228023
461	3731.155864
462	3710.123741
463	3688.888622
464	3668.359233
465	3653.552016
466	3629.285315
467	3608.748097
468	3585.131846
469	3570.195035
470	3555.64729
471	3532.848329
472	3513.218438
473	3497.934815
474	3483.795542
475	3459.703485
476	3445.87161
477	3422.413421
478	3408.861259
479	3395.520626
480	3372.727863
481	3359.671466
482	3346.806432
483	3324.659819
484	3312.07595
485	3295.204175
486	3282.907949
487	3269.410661
488	3257.474382
489	3244.374869
490	3230.095405
491	3209.032824
492	3197.338482
493	3181.370136
494	3169.889187
495	3157.341141
496	3137.027539
497	3125.815243
498	3114.810794
499	3104.365968
500	3089.124004
501	3075.551298
502	3055.131566
503	3044.297452
504	3034.326477
505	3015.411604
506	3004.772399
507	2996.416493
508	2977.054959
509	2966.601608
510	2956.293307
511	2946.900401
512	2935.278792
513	2923.810657
514	2914.572078
515	2903.241103
516	2885.347006
517	2866.977206
518	2859.581936
519	2845.411523
520	2831.957233
521	2820.003104
522	2802.371251
523	2797.335049
524	2781.084753
525	2776.102819
526	2771.204809
527	2761.746347
528	2751.825519
529	2744.692178
530	2739.990866
531	2730.803681
532	2721.056555
533	2704.148381
534	2688.629561
535	2680.15232
536	2670.54895
537	2661.310222
538	2651.813296
539	2644.89638
540	2640.475965
541	2631.115082
542	2623.003209
543	2616.159172
544	2606.914123
545	2598.979093
546	2589.869347
547	2583.232831
548	2574.208504
549	2563.136075
550	2547.428516
551	2536.735513
552	2532.612819
553	2525.063592
554	2509.814124
555	2498.496225
556	2494.46058
557	2487.144812
558	2477.112092
559	2462.886011
560	2458.962175
561	2449.218096
562	2445.345311
563	2438.40753
564	2424.552043
565	2416.103114
566	2412.337986
567	2403.000568
568	2399.284561
569	2391.934214
570	2383.182454
571	2377.213331
572	2368.545892
573	2362.646441
574	2354.062578
575	2345.286111
576	2339.444881
577	2331.04285
578	2327.567091
579	2321.785506
580	2313.501345
581	2305.04058
582	2297.867582
583	2294.503945
584	2281.808414
585	2278.480836
586	2270.409466
587	2262.43252
588	2254.28377
589	2247.204381
590	2235.10264
591	2231.905737
592	2228.762217
593	2220.990683
594	2213.310477
595	2203.437115
596	2195.961605
597	2188.164743
598	2180.684676
599	2173.378065
