iter	Passed	Remaining
0	4	2979
1	7	2120
2	7	1513
3	9	1364
4	21	2565
5	23	2279
6	24	2051
7	26	1946
8	30	2007
9	35	2095
10	36	1973
11	38	1866
12	39	1775
13	40	1676
14	40	1578
15	41	1519
16	43	1478
17	44	1438
18	45	1388
19	50	1460
20	50	1404
21	52	1370
22	52	1319
23	53	1288
24	54	1259
25	55	1228
26	56	1207
27	58	1190
28	58	1159
29	60	1151
30	65	1194
31	66	1181
32	67	1157
33	68	1132
34	69	1119
35	70	1111
36	72	1105
37	73	1093
38	75	1083
39	79	1108
40	81	1104
41	81	1087
42	83	1079
43	84	1071
44	86	1062
45	87	1054
46	88	1040
47	89	1024
48	89	1008
49	91	1001
50	92	991
51	93	986
52	94	972
53	94	957
54	95	945
55	96	936
56	97	927
57	97	914
58	98	902
59	99	897
60	101	893
61	102	891
62	104	887
63	106	893
64	108	890
65	109	887
66	110	876
67	111	872
68	112	863
69	113	858
70	114	854
71	116	856
72	118	855
73	123	877
74	124	871
75	125	867
76	126	857
77	127	855
78	129	853
79	130	850
80	131	842
81	132	835
82	134	838
83	137	842
84	137	835
85	138	830
86	140	828
87	141	824
88	142	819
89	144	816
90	144	809
91	146	806
92	146	799
93	148	797
94	148	789
95	149	786
96	151	783
97	152	782
98	154	780
99	155	776
100	156	774
101	157	767
102	158	764
103	159	761
104	160	758
105	161	754
106	163	752
107	164	750
108	166	750
109	167	747
110	169	745
111	170	744
112	171	739
113	172	734
114	172	728
115	174	726
116	176	726
117	177	723
118	178	720
119	182	729
120	184	729
121	186	729
122	187	727
123	190	730
124	191	726
125	193	728
126	198	739
127	200	737
128	201	736
129	202	731
130	203	728
131	204	725
132	205	722
133	207	720
134	208	717
135	208	712
136	210	712
137	211	709
138	213	709
139	215	708
140	216	704
141	217	700
142	218	698
143	219	695
144	220	691
145	221	689
146	223	687
147	224	686
148	226	685
149	227	683
150	228	680
151	229	676
152	230	674
153	231	670
154	232	668
155	233	665
156	235	663
157	236	661
158	237	659
159	240	662
160	243	663
161	245	662
162	246	660
163	247	658
164	248	655
165	250	654
166	251	651
167	252	650
168	254	648
169	256	649
170	258	647
171	259	645
172	260	644
173	262	641
174	263	640
175	265	638
176	266	635
177	267	634
178	269	632
179	269	629
180	271	628
181	273	627
182	274	625
183	276	624
184	277	622
185	278	620
186	280	618
187	281	617
188	282	615
189	287	619
190	288	618
191	290	616
192	290	613
193	292	611
194	293	610
195	295	608
196	296	606
197	297	604
198	299	602
199	301	603
200	303	601
201	304	599
202	305	598
203	307	596
204	308	594
205	309	591
206	310	589
207	312	588
208	313	585
209	314	584
210	316	584
211	318	582
212	319	580
213	320	577
214	321	576
215	322	573
216	323	571
217	325	570
218	327	568
219	329	569
220	331	568
221	332	566
222	334	565
223	335	563
224	337	562
225	338	560
226	340	559
227	341	557
228	343	555
229	345	555
230	346	554
231	348	552
232	349	550
233	350	548
234	352	547
235	355	547
236	357	547
237	363	552
238	364	551
239	368	552
240	370	551
241	371	550
242	373	549
243	378	551
244	379	550
245	380	547
246	381	545
247	383	543
248	384	542
249	386	540
250	387	539
251	389	537
252	391	536
253	393	535
254	394	533
255	395	531
256	397	530
257	398	528
258	399	526
259	401	524
260	401	522
261	402	519
262	404	518
263	406	517
264	407	515
265	409	514
266	410	512
267	412	510
268	413	508
269	414	507
270	416	505
271	417	503
272	419	502
273	421	501
274	423	500
275	424	498
276	425	496
277	427	494
278	428	492
279	429	491
280	431	489
281	432	487
282	432	485
283	435	484
284	436	482
285	437	480
286	439	479
287	440	477
288	442	475
289	443	474
290	445	472
291	446	471
292	448	469
293	451	470
294	453	468
295	454	466
296	455	465
297	456	462
298	457	460
299	458	458
300	460	456
301	461	455
302	462	453
303	465	452
304	466	451
305	468	449
306	469	447
307	470	445
308	471	444
309	472	441
310	473	439
311	474	437
312	475	436
313	477	434
314	478	433
315	480	431
316	481	429
317	482	428
318	484	426
319	485	424
320	486	423
321	488	421
322	490	420
323	492	419
324	493	417
325	495	416
326	496	414
327	498	413
328	499	411
329	500	409
330	502	408
